"V1","V2","V3","V4"
"sulkiness",0.176256424174174,0.478527322471082,-0.0311754528444215
"sullenness",0.36868688161795,0.384412878498953,-0.198475553022745
"superiority",0.470221893521215,-0.820846467765654,0.608966684102488
"surprise",0.123023790364057,-1.07708244776091,0.365822018525563
"sympathy",0.928186201601177,-0.160608722398924,-0.248958276413681
"tenderness",0.570135805896572,-0.447865250198661,-0.569422782109346
"tenseness",-0.460199783679732,-0.0646763804378022,-0.0707350709943757
"terror",0.242903599799716,-0.0500252893116375,0.855644964241542
"thrill",-0.218192178495753,-0.918449501757142,-0.198614862553327
"titillation",0.463811677620604,-0.659736205578145,0.45090725957441
"torment",0.103902639459651,0.0508966044685082,0.638655759298065
"triumph",0.440308694251079,-0.988959016561786,0.160166551978525
"uneasiness",-0.249600737534471,0.152508679660101,-0.00182331895312152
"unhappiness",-0.119611083766623,0.552237907548495,0.0649798976135993
"vanity",0.513155413089246,-0.679704787823247,0.510160300578038
"vehemence",0.00923020579961431,-0.338723501436727,0.61648670933023
